"d";"g";"c";"sc";"p";"ccif";"glosa_ccif"
"01";"1";"1";"05";"01";"01.1.1.05.01";"ESPAGUETIS"
"01";"1";"1";"05";"02";"01.1.1.05.02";"ESPIRALES"
"01";"1";"1";"05";"03";"01.1.1.05.03";"CORBATAS"
"01";"1";"1";"05";"04";"01.1.1.05.04";"CABELLOS DE ÁNGEL"
"01";"1";"1";"05";"05";"01.1.1.05.05";"OTRAS PASTAS SECAS SIN RELLENO"
"01";"1";"1";"05";"06";"01.1.1.05.06";"PASTAS SECAS DE TODOS LOS TIPOS, CON RELLENO"
"01";"1";"1";"05";"07";"01.1.1.05.07";"PASTAS FRESCAS DE TODOS LOS TIPOS (CON O SIN RELLENO)"
"01";"1";"1";"05";"08";"01.1.1.05.08";"CUSCÚS"
"01";"1";"1";"05";"99";"01.1.1.05.99";"OTROS PRODUCTOS DE PASTA N.C.P."
"01";"1";"1";"09";"00";"01.1.1.09.00";"OTROS CEREALES Y PRODUCTOS DE MOLINERÍA (ND)"
"01";"1";"1";"09";"01";"01.1.1.09.01";"MEZCLAS Y PASTAS PARA LA PREPARACIÓN DE PRODUCTOS DE PANADERÍA"
"01";"1";"1";"09";"02";"01.1.1.09.02";"SNACKS, CHIPS Y FRITURAS A BASE DE CEREAL"
"01";"1";"1";"09";"99";"01.1.1.09.99";"OTROS CEREALES Y PRODUCTOS DE MOLINERÍA N.C.P."
"01";"1";"2";"00";"00";"01.1.2.00.00";"ANIMALES VIVOS, CARNES Y OTRAS PARTES DE ANIMALES TERRESTRES SACRIFICADOS (ND)"
"01";"1";"2";"01";"00";"01.1.2.01.00";"ANIMALES TERRESTRES VIVOS (ND)"
"01";"1";"2";"01";"01";"01.1.2.01.01";"ANIMALES TERRESTRES VIVOS"
"01";"1";"2";"02";"00";"01.1.2.02.00";"CARNE FRESCA, REFRIGERADA O CONGELADA (ND)"
"01";"1";"2";"02";"01";"01.1.2.02.01";"CARNE DE VACUNO CORTE ASIENTO"
"01";"1";"2";"02";"02";"01.1.2.02.02";"CARNE DE VACUNO CORTE LOMO VETADO"
"01";"1";"2";"02";"03";"01.1.2.02.03";"CARNE DE VACUNO CORTE LOMO LISO Y FILETE"
"01";"1";"2";"02";"04";"01.1.2.02.04";"CARNE DE VACUNO CORTE POSTA"
"01";"1";"2";"02";"05";"01.1.2.02.05";"CARNE DE VACUNO MOLIDA"
"01";"1";"2";"02";"06";"01.1.2.02.06";"OTROS CORTES DE CARNE DE VACUNO"
"01";"1";"2";"02";"07";"01.1.2.02.07";"CORTES DE CARNE DE VACUNO NO IDENTIFICADOS"
"01";"1";"2";"02";"08";"01.1.2.02.08";"CARNE DE CERDO CORTE CHULETA"
"01";"1";"2";"02";"09";"01.1.2.02.09";"CARNE DE CERDO CORTE COSTILLAR"
"01";"1";"2";"02";"10";"01.1.2.02.10";"CARNE DE CERDO CORTE PULPA"
"01";"1";"2";"02";"11";"01.1.2.02.11";"OTROS CORTES DE CARNE DE CERDO"
"01";"1";"2";"02";"12";"01.1.2.02.12";"CORTES DE CARNE DE CERDO NO IDENTIFICADOS"
"01";"1";"2";"02";"13";"01.1.2.02.13";"CARNE DE PAVO MOLIDA"
"01";"1";"2";"02";"14";"01.1.2.02.14";"PECHUGA DE PAVO"
"01";"1";"2";"02";"15";"01.1.2.02.15";"TRUTRO DE PAVO"
"01";"1";"2";"02";"16";"01.1.2.02.16";"OTROS CORTES DE CARNE DE PAVO"
"01";"1";"2";"02";"17";"01.1.2.02.17";"CORTES DE CARNE DE PAVO NO IDENTIFICADOS"
"01";"1";"2";"02";"18";"01.1.2.02.18";"PECHUGA DE POLLO"
"01";"1";"2";"02";"19";"01.1.2.02.19";"POLLO ENTERO"
"01";"1";"2";"02";"20";"01.1.2.02.20";"TRUTRO DE POLLO"
"01";"1";"2";"02";"21";"01.1.2.02.21";"OTROS CORTES DE CARNE DE POLLO"
"01";"1";"2";"02";"22";"01.1.2.02.22";"CORTES DE CARNE DE POLLO NO IDENTIFICADOS"
"01";"1";"2";"02";"23";"01.1.2.02.23";"CARNE DE OTRAS AVES"
"01";"1";"2";"02";"24";"01.1.2.02.24";"CARNE DE CORDERO Y OVEJA"
"01";"1";"2";"02";"25";"01.1.2.02.25";"CARNE FRESCA, REFRIGERADA O CONGELADA NO IDENTIFICADA"
"01";"1";"2";"02";"99";"01.1.2.02.99";"CARNE FRESCA, REFRIGERADA O CONGELADA DE OTROS TIPOS DE ANIMALES N.C.P."
"01";"1";"2";"03";"00";"01.1.2.03.00";"CARNE SECA, SALADA, EN SALMUERA O AHUMADA (ND)"
"01";"1";"2";"03";"01";"01.1.2.03.01";"CORTES DE CARNE SECA, SALADA, EN SALMUERA O AHUMADA"
"01";"1";"2";"03";"02";"01.1.2.03.02";"CECINAS SECAS Y SEMISECAS"
"01";"1";"2";"03";"03";"01.1.2.03.03";"CECINAS Y FIAMBRES DE CERDO COCIDOS"
"01";"1";"2";"03";"04";"01.1.2.03.04";"CECINAS Y FIAMBRES DE PAVO COCIDOS"
"01";"1";"2";"03";"05";"01.1.2.03.05";"CECINAS Y FIAMBRES DE POLLO COCIDOS"
"01";"1";"2";"03";"06";"01.1.2.03.06";"CECINAS Y FIAMBRES NO IDENTIFICADOS"
"01";"1";"2";"03";"07";"01.1.2.03.07";"OTRAS CECINAS Y FIAMBRES COCIDOS DE OTROS TIPOS DE ANIMALES"
"01";"1";"2";"04";"00";"01.1.2.04.00";"DESPOJOS, SANGRE Y OTRAS PARTES DE ANIMALES SACRIFICADOS, FRESCOS, REFRIGERADOS O CONGELADOS, SECOS, SALADOS, EN SALMUERA O AHUMADOS (ND)"
"01";"1";"2";"04";"01";"01.1.2.04.01";"SUBPRODUCTOS Y MENUDENCIAS COMESTIBLES DE VACUNO"
"01";"1";"2";"04";"02";"01.1.2.04.02";"SUBPRODUCTOS Y MENUDENCIAS COMESTIBLES DE CERDO"
"01";"1";"2";"04";"03";"01.1.2.04.03";"SUBPRODUCTOS Y MENUDENCIAS COMESTIBLES DE PAVO"
"01";"1";"2";"04";"04";"01.1.2.04.04";"SUBPRODUCTOS Y MENUDENCIAS COMESTIBLES DE POLLO"
"01";"1";"2";"04";"99";"01.1.2.04.99";"SUBPRODUCTOS Y MENUDENCIAS COMESTIBLES DE OTROS TIPOS DE ANIMALES N.C.P."
"01";"1";"2";"05";"00";"01.1.2.05.00";"CARNE, DESPOJOS, SANGRE Y OTRAS PARTES PROCESADAS DE ANIMALES SACRIFICADOS (ND)"
"01";"1";"2";"05";"01";"01.1.2.05.01";"VIENESAS TRADICIONALES"
"01";"1";"2";"05";"02";"01.1.2.05.02";"VIENESAS DE AVE"
"01";"1";"2";"05";"03";"01.1.2.05.03";"VIENESAS DE CARNE DE OTROS TIPOS DE ANIMALES"
"01";"1";"2";"05";"04";"01.1.2.05.04";"PATÉS Y PASTAS DE UNTAR"
"01";"1";"2";"05";"05";"01.1.2.05.05";"OTROS EMBUTIDOS FRESCOS"
"01";"1";"2";"05";"06";"01.1.2.05.06";"HAMBURGUESAS DE VACUNO"
"01";"1";"2";"05";"07";"01.1.2.05.07";"HAMBURGUESAS DE AVE"
"01";"1";"2";"05";"08";"01.1.2.05.08";"HAMBURGUESAS DE CERDO"
"01";"1";"2";"05";"09";"01.1.2.05.09";"HAMBURGUESAS NO IDENTIFICADAS"
"01";"1";"2";"05";"10";"01.1.2.05.10";"HAMBURGUESAS DE CARNE DE OTROS TIPOS DE ANIMALES"
"01";"1";"2";"05";"11";"01.1.2.05.11";"CROQUETAS, NUGGETS Y APANADOS DE AVE"
"01";"1";"2";"05";"99";"01.1.2.05.99";"OTROS PROCESADOS DE CARNE, DESPOJOS, SANGRE Y OTRAS PARTES DE ANIMALES SACRIFICADOS N.C.P."
"01";"1";"3";"00";"00";"01.1.3.00.00";"PESCADOS Y MARISCOS (ND)"
"01";"1";"3";"01";"00";"01.1.3.01.00";"PECES VIVOS, PESCADOS FRESCOS, REFRIGERADOS O CONGELADOS (ND)"
"01";"1";"3";"01";"01";"01.1.3.01.01";"MERLUZAS VIVAS, FRESCAS, REFRIGERADAS O CONGELADAS"
"01";"1";"3";"01";"02";"01.1.3.01.02";"REINETAS O PALOMETAS DEL SUR VIVAS, FRESCAS, REFRIGERADAS O CONGELADAS"
"01";"1";"3";"01";"03";"01.1.3.01.03";"SALMONES VIVOS, FRESCOS, REFRIGERADOS O CONGELADOS"
"01";"1";"3";"01";"04";"01.1.3.01.04";"PECES VIVOS, PESCADOS FRESCOS, REFRIGERADOS O CONGELADOS NO IDENTIFICADOS"
"01";"1";"3";"01";"99";"01.1.3.01.99";"OTROS TIPOS DE PECES VIVOS, PESCADOS FRESCOS, REFRIGERADOS O CONGELADOS N.C.P."
"01";"1";"3";"02";"00";"01.1.3.02.00";"PESCADOS SECOS, SALADOS, EN SALMUERA O AHUMADOS (ND)"
"01";"1";"3";"02";"01";"01.1.3.02.01";"PESCADOS SECOS, SALADOS, EN SALMUERA O AHUMADOS"
"01";"1";"3";"03";"00";"01.1.3.03.00";"PROCESADOS DE PESCADO (ND)"
"01";"1";"3";"03";"01";"01.1.3.03.01";"HAMBURGUESAS Y CROQUETAS DE PESCADO"
"01";"1";"3";"03";"02";"01.1.3.03.02";"ATÚN EN CONSERVA"
"01";"1";"3";"03";"03";"01.1.3.03.03";"JUREL EN CONSERVA"
"01";"1";"3";"03";"04";"01.1.3.03.04";"OTROS TIPOS DE PESCADOS EN CONSERVA"
"01";"1";"3";"03";"05";"01.1.3.03.05";"PESCADOS EN CONSERVA NO IDENTIFICADOS"
"01";"1";"3";"03";"99";"01.1.3.03.99";"OTROS PROCESADOS DE PESCADO N.C.P."
"01";"1";"3";"04";"00";"01.1.3.04.00";"MARISCOS VIVOS, FRESCOS, REFRIGERADOS O CONGELADOS (ND)"
"01";"1";"3";"04";"01";"01.1.3.04.01";"ALMEJAS VIVAS, FRESCAS O REFRIGERADAS, EN SU CONCHA O CONGELADAS"
"01";"1";"3";"04";"02";"01.1.3.04.02";"CAMARONES VIVOS, FRESCOS, REFRIGERADOS O CONGELADOS"
"01";"1";"3";"04";"03";"01.1.3.04.03";"CHOLGAS O CHORITOS VIVOS, FRESCOS O REFRIGERADOS, EN SU CONCHA O CONGELADOS"
"01";"1";"3";"04";"04";"01.1.3.04.04";"MACHAS VIVAS, FRESCAS O REFRIGERADAS, EN SU CONCHA O CONGELADAS"
"01";"1";"3";"04";"05";"01.1.3.04.05";"MARISCOS NO IDENTIFICADOS"
"01";"1";"3";"04";"99";"01.1.3.04.99";"OTROS TIPOS DE MARISCOS VIVOS, FRESCOS, REFRIGERADOS O CONGELADOS N.C.P."
"01";"1";"3";"05";"00";"01.1.3.05.00";"MARISCOS SECOS, SALADOS, EN SALMUERA O AHUMADOS (ND)"
"01";"1";"3";"05";"01";"01.1.3.05.01";"MARISCOS SECOS, SALADOS, EN SALMUERA O AHUMADOS"
"01";"1";"3";"06";"00";"01.1.3.06.00";"PROCESADOS DE MARISCOS (ND)"
"01";"1";"3";"06";"01";"01.1.3.06.01";"MARISCOS EN CONSERVA"
"01";"1";"3";"06";"99";"01.1.3.06.99";"OTROS PROCESADOS DE MARISCOS N.C.P."
"01";"1";"3";"07";"00";"01.1.3.07.00";"HÍGADOS, HUEVAS Y DESPOJOS DE PESCADOS Y MARISCOS EN TODAS LAS FORMAS (ND)"
"01";"1";"3";"07";"01";"01.1.3.07.01";"HÍGADOS, HUEVAS Y DESPOJOS DE PESCADOS Y MARISCOS EN TODAS LAS FORMAS"
"01";"1";"4";"00";"00";"01.1.4.00.00";"LECHE, OTROS PRODUCTOS LÁCTEOS Y HUEVOS (ND)"
"01";"1";"4";"01";"00";"01.1.4.01.00";"LECHE LÍQUIDA Y ENTERA (ND)"
"01";"1";"4";"01";"01";"01.1.4.01.01";"LECHE LÍQUIDA ENTERA"
"01";"1";"4";"02";"00";"01.1.4.02.00";"LECHE DESCREMADA (ND)"
"01";"1";"4";"02";"01";"01.1.4.02.01";"LECHE LÍQUIDA DESCREMADA Y SEMIDESCREMADA"
"01";"1";"4";"03";"00";"01.1.4.03.00";"OTRAS LECHES Y CREMAS (ND)"
"01";"1";"4";"03";"01";"01.1.4.03.01";"LECHE EN POLVO"
"01";"1";"4";"03";"02";"01.1.4.03.02";"LECHE CONCENTRADA"
"01";"1";"4";"03";"03";"01.1.4.03.03";"CREMAS DE LECHE"
"01";"1";"4";"03";"99";"01.1.4.03.99";"OTRAS LECHES N.C.P."
"01";"1";"4";"04";"00";"01.1.4.04.00";"LECHE DE ORIGEN NO ANIMAL (ND)"
"01";"1";"4";"04";"01";"01.1.4.04.01";"LECHE DE ORIGEN NO ANIMAL"
"01";"1";"4";"05";"00";"01.1.4.05.00";"QUESOS (ND)"
"01";"1";"4";"05";"01";"01.1.4.05.01";"QUESO GOUDA"
"01";"1";"4";"05";"02";"01.1.4.05.02";"QUESO CHANCO O MANTECOSO"
"01";"1";"4";"05";"03";"01.1.4.05.03";"QUESO RALLADO"
"01";"1";"4";"05";"04";"01.1.4.05.04";"QUESILLO"
"01";"1";"4";"05";"05";"01.1.4.05.05";"QUESOS FRESCOS"
"01";"1";"4";"05";"06";"01.1.4.05.06";"QUESO UNTABLE"
"01";"1";"4";"05";"07";"01.1.4.05.07";"QUESOS DE ORIGEN NO ANIMAL"
"01";"1";"4";"05";"08";"01.1.4.05.08";"QUESOS NO IDENTIFICADOS"
"01";"1";"4";"05";"99";"01.1.4.05.99";"OTROS QUESOS N.C.P."
"01";"1";"4";"06";"00";"01.1.4.06.00";"YOGUR Y PRODUCTOS SIMILARES (ND)"
"01";"1";"4";"06";"01";"01.1.4.06.01";"YOGUR SIN PROBIÓTICOS O LACTOBACILOS (BATIDO)"
"01";"1";"4";"06";"02";"01.1.4.06.02";"YOGUR CON PROBIÓTICOS O LACTOBACILOS"
"01";"1";"4";"06";"03";"01.1.4.06.03";"YOGUR DE LECHE DE ORIGEN NO ANIMAL"
"01";"1";"4";"06";"04";"01.1.4.06.04";"YOGUR Y OTROS TIPOS DE LECHE, FERMENTADOS Y ACIDIFICADOS"
"01";"1";"4";"07";"00";"01.1.4.07.00";"POSTRES Y BEBIDAS A BASE DE LECHE (ND)"
"01";"1";"4";"07";"01";"01.1.4.07.01";"POSTRES Y BEBIDAS A BASE DE LECHE SIN PROBIÓTICOS O LACTOBACILOS"
"01";"1";"4";"07";"02";"01.1.4.07.02";"POSTRES Y BEBIDAS A BASE DE LECHE CON PROBIÓTICOS O LACTOBACILOS"
"01";"1";"4";"08";"00";"01.1.4.08.00";"HUEVOS (ND)"
"01";"1";"4";"08";"01";"01.1.4.08.01";"HUEVOS DE GALLINA, FRESCOS Y CON CÁSCARA"
"01";"1";"4";"08";"02";"01.1.4.08.02";"HUEVOS DE OTRAS AVES Y OTROS ANIMALES, FRESCOS Y CON CÁSCARA"
"01";"1";"4";"08";"03";"01.1.4.08.03";"HUEVOS EN OTRO FORMATO Y OTROS PRODUCTOS DERIVADOS DEL HUEVO"
"01";"1";"4";"09";"00";"01.1.4.09.00";"OTROS PRODUCTOS LÁCTEOS (ND)"
"01";"1";"4";"09";"01";"01.1.4.09.01";"OTROS PRODUCTOS LÁCTEOS"
"01";"1";"5";"00";"00";"01.1.5.00.00";"ACEITES Y GRASAS (ND)"
"01";"1";"5";"01";"00";"01.1.5.01.00";"ACEITES VEGETALES (ND)"
"01";"1";"5";"01";"01";"01.1.5.01.01";"ACEITES VEGETALES, DE FRUTA O SEMILLAS"
"01";"1";"5";"01";"02";"01.1.5.01.02";"ACEITE DE OLIVA"
"01";"1";"5";"01";"03";"01.1.5.01.03";"MANTECAS VEGETALES"
"01";"1";"5";"02";"00";"01.1.5.02.00";"MANTEQUILLAS Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE (ND)"
"01";"1";"5";"02";"01";"01.1.5.02.01";"MANTEQUILLAS"
"01";"1";"5";"02";"02";"01.1.5.02.02";"OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE"
"01";"1";"5";"03";"00";"01.1.5.03.00";"MARGARINAS Y PREPARACIONES SIMILARES (ND)"
"01";"1";"5";"03";"01";"01.1.5.03.01";"MARGARINAS Y PREPARACIONES SIMILARES"
"01";"1";"5";"09";"00";"01.1.5.09.00";"OTROS ACEITES Y GRASAS ANIMALES (ND)"
"01";"1";"5";"09";"01";"01.1.5.09.01";"ACEITE ANIMAL"
"01";"1";"5";"09";"02";"01.1.5.09.02";"MANTECA ANIMAL"
"01";"1";"5";"09";"99";"01.1.5.09.99";"OTROS ACEITES Y GRASAS ANIMALES N.C.P."
"01";"1";"6";"00";"00";"01.1.6.00.00";"FRUTAS Y FRUTOS SECOS (ND)"
"01";"1";"6";"01";"00";"01.1.6.01.00";"DÁTILES, HIGOS Y FRUTAS TROPICALES, FRESCAS (ND)"
"01";"1";"6";"01";"01";"01.1.6.01.01";"PLÁTANOS FRESCOS"
"01";"1";"6";"01";"02";"01.1.6.01.02";"MANGOS FRESCOS"
"01";"1";"6";"01";"03";"01.1.6.01.03";"PIÑAS FRESCAS"
"01";"1";"6";"01";"04";"01.1.6.01.04";"CHIRIMOYAS FRESCAS"
"01";"1";"6";"01";"05";"01.1.6.01.05";"HIGOS Y BREVAS, FRESCOS"
"01";"1";"6";"01";"06";"01.1.6.01.06";"PAPAYAS FRESCAS"
"01";"1";"6";"01";"07";"01.1.6.01.07";"PALTAS FRESCAS"
"01";"1";"6";"01";"99";"01.1.6.01.99";"OTRAS FRUTAS TROPICALES Y SUBTROPICALES, FRESCAS N.C.P"
"01";"1";"6";"02";"00";"01.1.6.02.00";"FRUTAS CÍTRICAS FRESCAS (ND)"
"01";"1";"6";"02";"01";"01.1.6.02.01";"POMELOS Y TORONJAS, FRESCAS"
"01";"1";"6";"02";"02";"01.1.6.02.02";"NARANJAS FRESCAS"
"01";"1";"6";"02";"03";"01.1.6.02.03";"MANDARINAS, TANGERINAS Y CLEMENTINAS, FRESCAS"
"01";"1";"6";"02";"04";"01.1.6.02.04";"LIMONES Y LIMAS, FRESCAS"
"01";"1";"6";"02";"99";"01.1.6.02.99";"OTRAS FRUTAS CÍTRICAS FRESCAS N.C.P."
"01";"1";"6";"03";"00";"01.1.6.03.00";"FRUTAS DE CUESCO Y FRUTAS DE PEPITA, FRESCAS (ND)"
"01";"1";"6";"03";"01";"01.1.6.03.01";"MANZANAS FRESCAS"
"01";"1";"6";"03";"02";"01.1.6.03.02";"PERAS FRESCAS"
"01";"1";"6";"03";"03";"01.1.6.03.03";"DURAZNOS Y NECTARINAS, FRESCOS"
"01";"1";"6";"03";"04";"01.1.6.03.04";"CIRUELAS FRESCAS"
"01";"1";"6";"03";"05";"01.1.6.03.05";"DAMASCOS FRESCOS"
"01";"1";"6";"03";"06";"01.1.6.03.06";"CEREZAS Y GUINDAS, FRESCAS"
"01";"1";"6";"03";"07";"01.1.6.03.07";"MEMBRILLOS FRESCOS"
"01";"1";"6";"03";"99";"01.1.6.03.99";"OTRAS FRUTAS DE CUESCO Y FRUTAS DE PEPITA, FRESCAS N.C.P."
"01";"1";"6";"04";"00";"01.1.6.04.00";"BAYAS FRESCAS (ND)"
"01";"1";"6";"04";"01";"01.1.6.04.01";"FRUTILLAS FRESCAS"
"01";"1";"6";"04";"02";"01.1.6.04.02";"MORAS Y ZARZAMORAS, FRESCAS"
"01";"1";"6";"04";"03";"01.1.6.04.03";"FRAMBUESAS FRESCAS"
"01";"1";"6";"04";"04";"01.1.6.04.04";"ARÁNDANOS FRESCOS"
"01";"1";"6";"04";"99";"01.1.6.04.99";"OTRAS BAYAS FRESCAS N.C.P."
"01";"1";"6";"05";"00";"01.1.6.05.00";"OTRAS FRUTAS FRESCAS (ND)"
"01";"1";"6";"05";"01";"01.1.6.05.01";"GRANADAS FRESCAS"
"01";"1";"6";"05";"02";"01.1.6.05.02";"UVAS FRESCAS"
"01";"1";"6";"05";"03";"01.1.6.05.03";"KIWIS FRESCOS"
"01";"1";"6";"05";"04";"01.1.6.05.04";"MELONES FRESCOS"
"01";"1";"6";"05";"05";"01.1.6.05.05";"SANDÍAS FRESCAS"
"01";"1";"6";"05";"06";"01.1.6.05.06";"TUNAS FRESCAS"
"01";"1";"6";"05";"07";"01.1.6.05.07";"PEPINOS DULCES FRESCOS"
"01";"1";"6";"05";"88";"01.1.6.05.88";"FRUTAS FRESCAS NO DESGLOSADAS"
"01";"1";"6";"05";"99";"01.1.6.05.99";"OTRAS FRUTAS FRESCAS N.C.P."
"01";"1";"6";"06";"00";"01.1.6.06.00";"FRUTAS CONGELADAS (ND)"
"01";"1";"6";"06";"01";"01.1.6.06.01";"FRUTAS CONGELADAS"
"01";"1";"6";"07";"00";"01.1.6.07.00";"FRUTAS DESHIDRATADAS O DESECADAS (ND)"
"01";"1";"6";"07";"01";"01.1.6.07.01";"FRUTAS DESHIDRATADAS O DESECADAS"
"01";"1";"6";"08";"00";"01.1.6.08.00";"FRUTOS SECOS (ND)"
"01";"1";"6";"08";"01";"01.1.6.08.01";"FRUTOS SECOS"
"01";"1";"6";"09";"00";"01.1.6.09.00";"FRUTAS Y FRUTOS SECOS MOLIDOS Y OTRAS PREPARACIONES (ND)"
"01";"1";"6";"09";"01";"01.1.6.09.01";"FRUTOS SECOS SALADOS, TOSTADOS O AHUMADOS"
"01";"1";"6";"09";"02";"01.1.6.09.02";"MIX DE FRUTOS SECOS CON FRUTAS DESHIDRATADAS"
"01";"1";"6";"09";"03";"01.1.6.09.03";"FRUTAS ENLATADAS Y EN CONSERVA"
"01";"1";"6";"09";"99";"01.1.6.09.99";"OTRAS PREPARACIONES DE FRUTAS Y FRUTOS SECOS N.C.P."
"01";"1";"7";"00";"00";"01.1.7.00.00";"HORTALIZAS, TUBÉRCULOS, PLÁTANOS, BANANAS PARA COCINAR Y LEGUMBRES (ND)"
"01";"1";"7";"01";"00";"01.1.7.01.00";"HORTALIZAS DE HOJA O DE TALLO, FRESCAS O REFRIGERADAS (ND)"
"01";"1";"7";"01";"01";"01.1.7.01.01";"LECHUGAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"01";"02";"01.1.7.01.02";"APIOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"01";"03";"01.1.7.01.03";"ACELGAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"01";"04";"01.1.7.01.04";"ESPINACAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"01";"05";"01.1.7.01.05";"ALCACHOFAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"01";"06";"01.1.7.01.06";"ESPÁRRAGOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"01";"07";"01.1.7.01.07";"REPOLLOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"01";"08";"01.1.7.01.08";"COLIFLORES FRESCAS O REFRIGERADAS"
"01";"1";"7";"01";"09";"01.1.7.01.09";"BRÓCOLIS FRESCOS O REFRIGERADOS"
"01";"1";"7";"01";"99";"01.1.7.01.99";"OTRAS HORTALIZAS DE HOJA O TALLO, FRESCAS O REFRIGERADAS N.C.P"
"01";"1";"7";"02";"00";"01.1.7.02.00";"HORTALIZAS FRUTALES, FRESCAS O REFRIGERADAS (ND)"
"01";"1";"7";"02";"01";"01.1.7.02.01";"AJÍES FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"02";"01.1.7.02.02";"ZAPALLOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"03";"01.1.7.02.03";"PEPINOS (HORTALIZAS) FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"04";"01.1.7.02.04";"PIMENTONES Y MORRONES FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"05";"01.1.7.02.05";"BERENJENAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"02";"06";"01.1.7.02.06";"ZAPALLOS ITALIANOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"07";"01.1.7.02.07";"TOMATES FRESCOS O REFRIGERADOS"
"01";"1";"7";"02";"99";"01.1.7.02.99";"OTRAS HORTALIZAS FRUTALES, FRESCAS O REFRIGERADAS N.C.P."
"01";"1";"7";"03";"00";"01.1.7.03.00";"LEGUMINOSAS VERDES, FRESCAS O REFRIGERADAS (ND)"
"01";"1";"7";"03";"01";"01.1.7.03.01";"ARVEJAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"03";"02";"01.1.7.03.02";"POROTOS VERDES FRESCOS O REFRIGERADOS"
"01";"1";"7";"03";"03";"01.1.7.03.03";"HABAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"03";"99";"01.1.7.03.99";"OTRAS LEGUMINOSAS VERDES FRESCAS O REFRIGERADAS N.C.P."
"01";"1";"7";"04";"00";"01.1.7.04.00";"OTRAS HORTALIZAS, FRESCAS O REFRIGERADAS (ND)"
"01";"1";"7";"04";"01";"01.1.7.04.01";"BETARRAGAS FRESCAS O REFRIGERADAS"
"01";"1";"7";"04";"02";"01.1.7.04.02";"AJOS FRESCOS O REFRIGERADOS"
"01";"1";"7";"04";"03";"01.1.7.04.03";"ZANAHORIAS FRESCAS O REFRIGERADAS"
